address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Quraish Street, Jeddah Saudi Arabia,Jeddah,"  , Fast Food", Fast Food,"Quraish Street, Jeddah Saudi Arabia",4,+ Add hours,34 of 48 Fast Food in Jeddah,966 2 691 9851,, Yogorino,4.5 
Tahlia Street Al-Khalidiyah District, Jeddah 23421 Saudi Arabia,Jeddah,"  , Cafe", Cafe,"Tahlia Street Al-Khalidiyah District, Jeddah 23421 Saudi Arabia",7,Open Now:See all hours,34 of 55 Cafe in Jeddah,966 12 252 2223,, Qatarat,4.0 
Prince Majid Street, Jeddah Saudi Arabia,Jeddah,"  , Chinese, Indian, Barbecue", Chinese,"Prince Majid Street, Jeddah Saudi Arabia",6,+ Add hours,23 of 29 Chinese in Jeddah,966 56 656 6967,, Salt n pepper,4.0 
2192 Al Udaba, Al Aziziyah District,Jeddah,  ,Restaurants,"2192 Al Udaba, Al Aziziyah District, Jeddah 23342 Saudi Arabia",7,Open Now:2:00 PM - 12:30 AM,396 of 628 Restaurants in Jeddah,966 59 943 7626,, Texas Grill,3.5 
Hamad Al Jaser Street, Jeddah 23435 Saudi Arabia,Jeddah,  ,Restaurants,"Hamad Al Jaser Street, Jeddah 23435 Saudi Arabia",5,+ Add hours,397 of 628 Restaurants in Jeddah,966 12 683 3505,, Pizza Pion,4.0 
Al Maadi, Al Hamra,Jeddah,", Italian, Mexican, Seafood", Italian,"Al Maadi, Al Hamra, Jeddah 21443, Saudi Arabia, Jeddah 10924 Saudi Arabia",28,Open Now:7:00 PM - 11:30 PM,28 of 43 Italian in Jeddah,966 12 260 4900,, Al Zahra Restaurant,4.5 
Palestine Street and Thalia Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Palestine Street and Thalia Street, Jeddah Saudi Arabia",4,+ Add hours,400 of 628 Restaurants in Jeddah,966 12 665 6108,, Le GOURMET,4.5 
Prince Sultan Road, Jeddah Saudi Arabia,Jeddah,Seafood,Seafood,"Prince Sultan Road, Jeddah Saudi Arabia",3,+ Add hours,37 of 44 Seafood in Jeddah,966 12 655 2345,, Senara Restaurant,4.5 
Azizia, Jeddah Saudi Arabia,Jeddah,"Indian, Middle Eastern, Pakistani", Middle Eastern,"Azizia, Jeddah Saudi Arabia",4,+ Add hours,28 of 42 Indian in Jeddah,966 2 675 2211,, Fine Grill Restaurant,4.0 
Jeddah Saudi Arabia,,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,4,+ Add hours,403 of 628 Restaurants in Jeddah,966 12 683 8076,, Pattaya Thai,4.5 
Tahliah Street, Jeddah Saudi Arabia,Jeddah,Arabic,Arabic,"Tahliah Street, Jeddah Saudi Arabia",4,+ Add hours,26 of 51 Arabic in Jeddah,,, Sheikha Al-Matbakh,4.0 
Qasim Zinah, Jeddah Saudi Arabia,Jeddah,"International, Asian, Indonesian", Asian,"Qasim Zinah, Jeddah Saudi Arabia",2,+ Add hours,35 of 47 International in Jeddah,966 57 042 5115,, Choubidou,5.0 
Sari Street, Jeddah Saudi Arabia,Jeddah,"  , Arabic", Arabic,"Sari Street, Jeddah Saudi Arabia",4,+ Add hours,27 of 51 Arabic in Jeddah,966 56 777 3700,, Al Baidar Restaurant,4.0 
Road 4654 Building 3236, Block 346,Jeddah,Restaurants,Restaurants,"Road 4654 Building 3236, Block 346, Al Seef District, Jeddah 01714 Saudi Arabia",4,+ Add hours,407 of 628 Restaurants in Jeddah,17104000,, Reem Al Bawadi,4.5 
Corniche Road, Jeddah Saudi Arabia,Jeddah,  ,Restaurants,"Corniche Road, Jeddah Saudi Arabia",12,+ Add hours,408 of 628 Restaurants in Jeddah,966 12 289 9836,, Ghanouj Lebanese Cuisine,3.5 
6396 Cornishe Rd, Jeddah 23613 Saudi Arabia,Jeddah,Restaurants,Restaurants,"6396 Cornishe Rd, Jeddah 23613 Saudi Arabia",4,Open Now:See all hours,409 of 628 Restaurants in Jeddah,966 12 655 9816,, Znjabeel,4.0 
Al Sahafa Street, Beside Dauha Ul Uloom International School Aziziyah,Jeddah,", Indian, Middle Eastern, Pakistani", Indian,"Al Sahafa Street, Beside Dauha Ul Uloom International School Aziziyah, Jeddah 23342 Saudi Arabia",2,+ Add hours,29 of 42 Indian in Jeddah,966 57 085 7453, 4 -  9, Snow Dip N Roll,5.0 
Corniche Street, Jeddah Saudi Arabia,Jeddah,", Lebanese, Mediterranean, Middle Eastern", Lebanese,"Corniche Street, Jeddah Saudi Arabia",9,+ Add hours,33 of 46 Lebanese in Jeddah,966 12 666 9999,, Falafel Boutique,4.0 
Al Kayyal, Ar Rawdah23433,Jeddah,Healthy,Healthy,"Al Kayyal, Ar Rawdah23433, Jeddah Saudi Arabia",2,+ Add hours,4 of 8 Healthy in Jeddah,966 53 923 0360,, Sinless,4.5 
3103 Palestine Street Mushrifah, Jeddah 23218 Saudi Arabia,Jeddah,"Mediterranean, Egyptian", Egyptian,"3103 Palestine Street Mushrifah, Jeddah 23218 Saudi Arabia",3,Open Now:See all hours,63 of 84 Mediterranean in Jeddah,966 12 660 0206,, Koshary Abu Tarek,4.0 
Alrawdah St. Alkhaldiya Dist., Jeddah 21453 Saudi Arabia,Jeddah,"  , American, Fast Food", American,"Alrawdah St. Alkhaldiya Dist., Jeddah 21453 Saudi Arabia",19,+ Add hours,51 of 79 American in Jeddah,966 608 4788,, Wing Zone,3.5 
Al Salameh District. , Saqar Quraish Street,Jeddah,"  , Italian, Lebanese, Mediterranean", Italian,"Al Salameh District. , Saqar Quraish Street, Jeddah Saudi Arabia",6,+ Add hours,31 of 43 Italian in Jeddah,,, La Luna Bakery,3.5 
3813 Sari, Al Khalidiyah District,Jeddah,"  , Turkish, Middle Eastern", Turkish,"3813 Sari, Al Khalidiyah District, Jeddah Saudi Arabia",22,+ Add hours,22 of 29 Turkish in Jeddah,966 12 691 9236,, Modo,3.5 
Batterjee Street, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"Batterjee Street, Jeddah Saudi Arabia",2,+ Add hours,35 of 55 Cafe in Jeddah,966 56 462 0992,, Sara Ladies Cafe,4.5 
Jeddah Saudi Arabia,,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,8,+ Add hours,422 of 628 Restaurants in Jeddah,966 55 422 8716,, Boofiya Falafel Ramzi,3.5 
AL Balad Historical distric Jeddah, near Nassif House Museum,Jeddah,Restaurants,Restaurants,"AL Balad Historical distric Jeddah, near Nassif House Museum, Jeddah 22236 Saudi Arabia",2,+ Add hours,423 of 628 Restaurants in Jeddah,966 54 356 5418,, Cafe Magad,4.5 
Palasteen-Walk-Street, Jeddah Saudi Arabia,Jeddah,", Middle Eastern", Middle Eastern,"Palasteen-Walk-Street, Jeddah Saudi Arabia",11,+ Add hours,68 of 82 Middle Eastern in Jeddah,966 12 261 5157,, Shawermatac,3.5 
Malik Road Red Sea Mall, Jeddah Saudi Arabia,Jeddah,Turkish,Turkish,"Malik Road Red Sea Mall, Jeddah Saudi Arabia",3,+ Add hours,23 of 29 Turkish in Jeddah,,, Saray Latif Red Sea Mall,4.0 
Jeddah 21431 Saudi Arabia,,Jeddah,  ,Restaurants,Jeddah 21431 Saudi Arabia,4,+ Add hours,426 of 628 Restaurants in Jeddah,,, Primo,4.0 
Safia Bint Abdulmutalib St, Jeddah Saudi Arabia,Jeddah,", Asian, Indonesian, Malaysian", Asian,"Safia Bint Abdulmutalib St, Jeddah Saudi Arabia",3,+ Add hours,55 of 65 Asian in Jeddah,966 55 365 3821, 10 -  28, Satay Asia,4.0 
King Abdul Aziz Road, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"King Abdul Aziz Road, Jeddah Saudi Arabia",4,+ Add hours,428 of 628 Restaurants in Jeddah,966 12 275 4464,, La Mamounia,4.5 
Prince Sultan Rd,,Jeddah,"  , American", American,"Prince Sultan Rd,, Jeddah Saudi Arabia",11,+ Add hours,52 of 79 American in Jeddah,,, Swisshouse,3.5 
8322 King Abdul Aziz Rd, Ash Shati,Jeddah,", American, Fast Food, International", American,"8322 King Abdul Aziz Rd, Ash Shati, Jeddah 23414 3683, Jeddah 23414 Saudi Arabia",2,Closed today:See all hours,53 of 79 American in Jeddah,966 55 664 4554, 132 -  752, The Smokehouse,4.5 
Balath, Jeddah Saudi Arabia,Jeddah,"  , American", American,"Balath, Jeddah Saudi Arabia",12,+ Add hours,54 of 79 American in Jeddah,,, kfc,3.0 
3048 Palestine Rd Al Hamra West Palestine Rd, Jeddah 23212 Saudi Arabia,Jeddah,"  , French, Steakhouse, Diner", French,"3048 Palestine Rd Al Hamra West Palestine Rd, Jeddah 23212 Saudi Arabia",12,Open Now:See all hours,14 of 19 French in Jeddah,966 50 888 4166, 10 -  14, Relais de Paris Entrecote Jeddah,3.5 
Ice Land, Prince Sultan Street Al-Shallal Theme Park Branch,Jeddah,", Italian", Italian,"Ice Land, Prince Sultan Street Al-Shallal Theme Park Branch, Jeddah 21465 Saudi Arabia",10,Open Now:4:00 PM - 12:00 PM,32 of 43 Italian in Jeddah,966 2 667 7729, 2 -  4, Freshi Ice Sticks,4.0 
Al Yamamah Street, Jeddah 21524 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Al Yamamah Street, Jeddah 21524 Saudi Arabia",2,+ Add hours,434 of 628 Restaurants in Jeddah,966 12 683 0231,, Kashmir Nights Restaurant,4.5 
Khalid Bin Waled Street, Sharafiyah Khalid Commercial Center,Jeddah,"  , Asian, Indonesian", Asian,"Khalid Bin Waled Street, Sharafiyah Khalid Commercial Center, Jeddah 52000 Saudi Arabia",11,Open Now:See all hours,56 of 65 Asian in Jeddah,966 54 120 6209, 25 -  150, Batavia Restaurant,4.0 
King Abdul Aziz Road Red Sea Mall, Jeddah Saudi Arabia,Jeddah,"Italian, European", European,"King Abdul Aziz Road Red Sea Mall, Jeddah Saudi Arabia",8,+ Add hours,33 of 43 Italian in Jeddah,966 9200 24070,, Filicori Zecchini,3.5 
Safa street , Al Nahdah Near the AGS Boys school,Jeddah,"  , Chinese, Japanese, Filipino", Chinese,"Safa street , Al Nahdah Near the AGS Boys school, Jeddah 00966 Saudi Arabia",2,Open Now:See all hours,24 of 29 Chinese in Jeddah,966 12 607 4010, 20 -  65, Oriental Garden Restaurant,4.5 
Wahib Bin Umair, Jeddah Saudi Arabia,Jeddah,American,American,"Wahib Bin Umair, Jeddah Saudi Arabia",2,+ Add hours,55 of 79 American in Jeddah,966 55 744 6173,,  Bites,4.5 
Ameer Majid Road ,Al-Aziziyah,Jeddah,"  , Asian, Pakistani, Indian", Asian,"Ameer Majid Road ,Al-Aziziyah, Jeddah Saudi Arabia",30,+ Add hours,30 of 42 Indian in Jeddah,966 2 672 1232,, Kababish,3.0 
Jeddah Saudi Arabia,,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,2,+ Add hours,441 of 628 Restaurants in Jeddah,966 59 035 0450,, Atheel Cafe,5.0 
Khalid Bin Al-Waleed Street Muhammed Ibn Abdul Wahab, Al Baghdediah Al Sharqiyah,Jeddah,", Chinese, Indian", Chinese,"Khalid Bin Al-Waleed Street Muhammed Ibn Abdul Wahab, Al Baghdediah Al Sharqiyah, Jeddah 22235 Saudi Arabia",4,+ Add hours,25 of 29 Chinese in Jeddah,9666459948,, Sapphire Family Restaurant,4.0 
Sultana Center, Opposite Danube Tahlia,Jeddah,", Middle Eastern", Middle Eastern,"Sultana Center, Opposite Danube Tahlia, Jeddah 23326 Saudi Arabia",2,Closed Now:4:30 AM - 12:30 AM,69 of 82 Middle Eastern in Jeddah,966 57 070 0397, 8 -  15, Tahina And Falafel,4.5 
N21 34. 335' E039 09. 562' facing Rifaat supermarket, Jeddah Saudi Arabia,Jeddah,", Fast Food, Lebanese, Mediterranean", Fast Food,"N21 34. 335' E039 09. 562' facing Rifaat supermarket, Jeddah Saudi Arabia",7,Open Now:See all hours,35 of 46 Lebanese in Jeddah,966 50 320 9945, 8 -  23, Tawook Basha,4.5 
King Abdulaziz Branch Road Le Prestige Mall, Jeddah 23414 Saudi Arabia,Jeddah,"Cafe, Fusion, Healthy", Fusion,"King Abdulaziz Branch Road Le Prestige Mall, Jeddah 23414 Saudi Arabia",9,+ Add hours,11 of 12 Coffee & Tea in Jeddah,966 12 289 0001,, Urth Caffe,3.5 
Al Naseem Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Al Naseem Street, Jeddah Saudi Arabia",6,Open Now:1:00 PM - 1:00 AM,446 of 628 Restaurants in Jeddah,966 9200 05423,, Lishlazz,3.5 
Next To The Mayor Dhahban, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Next To The Mayor Dhahban, Jeddah Saudi Arabia",2,+ Add hours,447 of 628 Restaurants in Jeddah,,, Al Sharah,4.5 
6734 Abdul Rahman Ibn Ahmad As Sidayri, Jeddah 23436 Saudi Arabia,Jeddah,Restaurants,Restaurants,"6734 Abdul Rahman Ibn Ahmad As Sidayri, Jeddah 23436 Saudi Arabia",3,Open Now:4:00 PM - 2:00 AM,448 of 628 Restaurants in Jeddah,966 53 078 7437,, Agha House Shawerma,4.0 
Intersection King Abdullah With Khaled Bin Waled, Jeddah Saudi Arabia,Jeddah,American,American,"Intersection King Abdullah With Khaled Bin Waled, Jeddah Saudi Arabia",5,+ Add hours,56 of 79 American in Jeddah,,, Mcdonald,3.5 
Palestine Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Palestine Street, Jeddah Saudi Arabia",6,Open Now:11:00 AM - 2:00 AM,450 of 628 Restaurants in Jeddah,966 2 669 3393,, Java Lounge,4.0 
9272 Al Madinah Al Munawarah Rd, Jeddah 21391 Saudi Arabia,Jeddah,"Lebanese, Seafood, Mediterranean, Barbecue", Seafood,"9272 Al Madinah Al Munawarah Rd, Jeddah 21391 Saudi Arabia",3,+ Add hours,36 of 46 Lebanese in Jeddah,966 12 607 0777,, Mais Alreem,4.0 
Quraish Street Khateeb al tabreezi, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Quraish Street Khateeb al tabreezi, Jeddah Saudi Arabia",2,+ Add hours,452 of 628 Restaurants in Jeddah,,, Bsbosati,4.5 
Movenpick Al Nawras Resort, Jeddah 21424 Saudi Arabia,Jeddah,Arabic,Arabic,"Movenpick Al Nawras Resort, Jeddah 21424 Saudi Arabia",7,+ Add hours,30 of 51 Arabic in Jeddah,966 12 655 5550,, Al Wadaa Restaurant,3.5 
7100 Prince Abdullah AlFiasal St, Jeddah Saudi Arabia,Jeddah,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"7100 Prince Abdullah AlFiasal St, Jeddah Saudi Arabia",7,+ Add hours,37 of 46 Lebanese in Jeddah,966 12 288 9157,, Shawermashy,3.5 
Al Kayyal St, Jeddah Saudi Arabia,Jeddah,  ,Restaurants,"Al Kayyal St, Jeddah Saudi Arabia",6,+ Add hours,455 of 628 Restaurants in Jeddah,66075708,, Ryan's,3.5 
Tariq Almadinat Almunawrat Mall Of Arabia, Jeddah 23532 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Tariq Almadinat Almunawrat Mall Of Arabia, Jeddah 23532 Saudi Arabia",2,+ Add hours,456 of 628 Restaurants in Jeddah,,, Kunefeci,4.0 
Prince Majid Rd, Al Marwah,Jeddah,", American, Fast Food, European", American,"Prince Majid Rd, Al Marwah, Jeddah Al Marwah Plaza, Jeddah 23451 Saudi Arabia",1,+ Add hours,57 of 79 American in Jeddah,966 56 426 0567, 9 -  31, X Bite,5.0 
Tahlia Street Rawda, Jeddah Saudi Arabia,Jeddah,"  , French, Cafe", French,"Tahlia Street Rawda, Jeddah Saudi Arabia",14,Open Now:7:00 AM - 2:00 AM,15 of 19 French in Jeddah,, 25 -  100, Bert's,3.5 
Al Nozha, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Al Nozha, Jeddah Saudi Arabia",3,+ Add hours,459 of 628 Restaurants in Jeddah,,, Charley's Grilled Sub,4.0 
Prince Mohammed Bin Abdulaziz St Al Andalus, Jeddah 23322 Saudi Arabia,Jeddah,"African, Mediterranean, Barbecue, Middle Eastern", Mediterranean,"Prince Mohammed Bin Abdulaziz St Al Andalus, Jeddah 23322 Saudi Arabia",1,+ Add hours,2 of 2 African in Jeddah,966 12 215 0390,, Al Dawar Al Masri,5.0 
Al-Nuzhah Located In Mall Of Arabia, Al-madinah Almunawara Road,Jeddah,"Cafe, Turkish", Turkish,"Al-Nuzhah Located In Mall Of Arabia, Al-madinah Almunawara Road, Jeddah 23532 Saudi Arabia",2,+ Add hours,38 of 55 Cafe in Jeddah,,, Kahve Dunyasi,4.0 
3800 al Amir Sultan al Khalidiyah District, Jeddah 23423 Saudi Arabia,Jeddah,"  , Greek", Greek,"3800 al Amir Sultan al Khalidiyah District, Jeddah 23423 Saudi Arabia",1,+ Add hours,5 of 6 Greek in Jeddah,966 53 304 0411, 15 -  100, Mikel Coffee,5.0 
King Abdullah Branch rd, Jeddah 22231 Saudi Arabia,Jeddah,Arabic,Arabic,"King Abdullah Branch rd, Jeddah 22231 Saudi Arabia",1,+ Add hours,33 of 51 Arabic in Jeddah,966 9200 02623,, Tamees ,5.0 
Al Kurnaysh Rd Ash Shati, Jeddah 23415 Saudi Arabia,Jeddah,"Italian, American, Cafe, International", American,"Al Kurnaysh Rd Ash Shati, Jeddah 23415 Saudi Arabia",1,Open Now:See all hours,35 of 43 Italian in Jeddah,966 12 288 9143,, Zillion Restaurant & Lounge,5.0 
Sari street, Jeddah 23436 Saudi Arabia,Jeddah,"  , International, Mediterranean", International,"Sari street, Jeddah 23436 Saudi Arabia",1,+ Add hours,38 of 47 International in Jeddah,966 12 633 1234, 95 -  180, H Lounge,5.0 
Near Dr. Baksh hospital Behind Abu Zaid, Thawba street,Jeddah,", Indian", Indian,"Near Dr. Baksh hospital Behind Abu Zaid, Thawba street, sharaffiyah, Jeddah Saudi Arabia",1,Open Now:11:30 AM - 11:45 PM,32 of 42 Indian in Jeddah,966 50 783 8858, 9 -  30, Koyikodan Restaurant,5.0 
Prince Meshaal Bin Majid, Jeddah 23816 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Prince Meshaal Bin Majid, Jeddah 23816 Saudi Arabia",1,Closed today:See all hours,467 of 628 Restaurants in Jeddah,966 55 648 8379,, Boboko Indonesian Restaurant,5.0 
Prince Sulttan Street, Jeddah Saudi Arabia,Jeddah,", International, Diner, Dining bars", International,"Prince Sulttan Street, Jeddah Saudi Arabia",1,+ Add hours,39 of 47 International in Jeddah,966 12 655 5566," 100 -  1,500", JouJou Lounge,5.0 
King Abdullah Rd Abraj Al Hilal - Tower 3, Jeddah 2973 Saudi Arabia,Jeddah,"  , American, Arabic", American,"King Abdullah Rd Abraj Al Hilal - Tower 3, Jeddah 2973 Saudi Arabia",1,+ Add hours,59 of 79 American in Jeddah,966 9200 05027, 25 -  60, Faris Breakfast,5.0 
Abdul Rahman At Tubayshi, Al Tahlia Street,Jeddah,Restaurants,Restaurants,"Abdul Rahman At Tubayshi, Al Tahlia Street, Jeddah Saudi Arabia",1,+ Add hours,470 of 628 Restaurants in Jeddah,966 53 133 1513,, Carlos Restaurant,5.0 
Al Jawad Street, Al-Manar Al Yasmin Mall,Jeddah,"  , French, International, European", French,"Al Jawad Street, Al-Manar Al Yasmin Mall, Jeddah 23462 Saudi Arabia",1,+ Add hours,16 of 19 French in Jeddah,966 12 290 0276, 15 -  87, PAUL Bakery & Restaurant,5.0 
Sari Street, Jeddah Saudi Arabia,Jeddah,American,American,"Sari Street, Jeddah Saudi Arabia",2,+ Add hours,60 of 79 American in Jeddah,,, Hwy ,4.0 
Hussein Shobokshi Street, Jeddah Saudi Arabia,Jeddah,"Cafe, Fast Food, Mediterranean, Grill", Fast Food,"Hussein Shobokshi Street, Jeddah Saudi Arabia",1,+ Add hours,40 of 55 Cafe in Jeddah,966 9200 07426,, Moussallati Gourmet,5.0 
Prince Sultan Road Alkhayat Center, Jeddah 23435 Saudi Arabia,Jeddah,"Japanese, Japanese sweets parlour, Japanese Fusion", Japanese sweets parlour,"Prince Sultan Road Alkhayat Center, Jeddah 23435 Saudi Arabia",1,+ Add hours,22 of 24 Japanese in Jeddah,966 54 577 7343,, Fuji Japanese Restaurant & Sushi,5.0 
2772 Corniche Rd, Jeddah 23613 Saudi Arabia,Jeddah,Restaurants,Restaurants,"2772 Corniche Rd, Jeddah 23613 Saudi Arabia",1,+ Add hours,475 of 628 Restaurants in Jeddah,966 53 524 4448,, Chef Restaurant & Cafe,5.0 
4319 An Numan Ibn Meqrin, Jeddah 6857 Saudi Arabia,Jeddah,Restaurants,Restaurants,"4319 An Numan Ibn Meqrin, Jeddah 6857 Saudi Arabia",1,+ Add hours,476 of 628 Restaurants in Jeddah,966 50 077 4610,, Da Venti Restaurant,5.0 
Jeddah Saudi Arabia,,Jeddah,"  , Indian, Seafood, International", Indian,Jeddah Saudi Arabia,1,+ Add hours,33 of 42 Indian in Jeddah,966 54 020 0900, 36 -  120, Alnawras Seafood ,5.0 
AL Rawda, Qasim Zainah,Jeddah,", Indian, Middle Eastern, Arabic", Indian,"AL Rawda, Qasim Zainah, Jeddah 23414 Saudi Arabia",1,+ Add hours,34 of 42 Indian in Jeddah,966 12 655 1111, 5 -  15, Karak & Chapati,5.0 
2900 Prince Mohammed Bin Abdulaziz St, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"2900 Prince Mohammed Bin Abdulaziz St, Jeddah Saudi Arabia",13,+ Add hours,41 of 55 Cafe in Jeddah,966 55 667 2222,, Fiori,3.0 
The Galleria By Elaf Hotel, Jeddah Saudi Arabia,Jeddah,"Argentinean, South American", South American,"The Galleria By Elaf Hotel, Jeddah Saudi Arabia",1,+ Add hours,2 of 2 Argentinean in Jeddah,,, Vaquero Restaurant,5.0 
Al Amal, Jeddah 23621 Saudi Arabia,Jeddah,"Barbecue, Arabic", Arabic,"Al Amal, Jeddah 23621 Saudi Arabia",1,+ Add hours,27 of 32 Barbecue in Jeddah,966 55 880 0300,, Hosny Restaurant,5.0 
Sari Street, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"Sari Street, Jeddah Saudi Arabia",3,+ Add hours,484 of 628 Restaurants in Jeddah,966 12 682 8525,, Asia Restaurant,3.5 
Prince Sultan Street, Jeddah Saudi Arabia,Jeddah,Seafood,Seafood,"Prince Sultan Street, Jeddah Saudi Arabia",1,+ Add hours,40 of 44 Seafood in Jeddah,,, Hook,5.0 
Jeddah Saudi Arabia,,Jeddah,"Pizza, Fast Food, Barbecue, Fusion", Fast Food,Jeddah Saudi Arabia,9,+ Add hours,21 of 29 Pizza in Jeddah,966 53 777 8819,, Hot n Spicy,3.5 
3778 Hilmi Kutbi, Jeddah Saudi Arabia,Jeddah,"Italian, American, Bar, Pizza", American,"3778 Hilmi Kutbi, Jeddah Saudi Arabia",3,+ Add hours,36 of 43 Italian in Jeddah,966 53 544 2277,, Burgerizza Studio,4.0 
Arafat Street, Jeddah 23323 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Arafat Street, Jeddah 23323 Saudi Arabia",1,Open Now:See all hours,488 of 628 Restaurants in Jeddah,966 50 438 8781,, Almond Coffee House,5.0 
Al-shakireen, Jeddah 23453 Saudi Arabia,Jeddah,", Lebanese, Mediterranean, Grill", Lebanese,"Al-shakireen, Jeddah 23453 Saudi Arabia",1,+ Add hours,38 of 46 Lebanese in Jeddah,966 50 564 3044, 5 -  35, Mabshoor alBait alShami,5.0 
King Abdul Aziz Rd, Jeddah Saudi Arabia,Jeddah,Middle Eastern,Middle,"King Abdul Aziz Rd, Jeddah Saudi Arabia",1,+ Add hours,74 of 82 Middle Eastern in Jeddah,966 12 288 1221,, Momentary Restaurant,5.0 
Falastin st, Jeddah Saudi Arabia,Jeddah,"  , Indian", Indian,"Falastin st, Jeddah Saudi Arabia",13,Open Now:7:00 PM - 12:00 AM,35 of 42 Indian in Jeddah,966 12 662 2209,, Maharaja,3.5 
6687 Abdul Rahman Ibn Ahmad As Sidayri, Jeddah Saudi Arabia,Jeddah,Restaurants,Restaurants,"6687 Abdul Rahman Ibn Ahmad As Sidayri, Jeddah Saudi Arabia",8,+ Add hours,493 of 628 Restaurants in Jeddah,966 12 691 8896,, Al Beit El Halabi,3.5 
Al Seil-Nahda, Jeddah Saudi Arabia,Jeddah,  ,Restaurants,"Al Seil-Nahda, Jeddah Saudi Arabia",3,+ Add hours,494 of 628 Restaurants in Jeddah,966 2 263 1846, 56 -  188, RESTAURANT CAFE GRAND PRIX,4.5 
4359 Al Imam Al bukhari, Jeddah Saudi Arabia,Jeddah,"Steakhouse, Cafe, Mediterranean, Soups", Cafe,"4359 Al Imam Al bukhari, Jeddah Saudi Arabia",1,Open Now:11:00 AM - 11:00 PM,19 of 21 Steakhouse in Jeddah,966 56 623 6023,, Ammar Resturant,5.0 
Diners Square Al Malek Rd, Jeddah 45682 Saudi Arabia,Jeddah,Restaurants,Restaurants,"Diners Square Al Malek Rd, Jeddah 45682 Saudi Arabia",2,+ Add hours,497 of 628 Restaurants in Jeddah,966 12 690 5707,, Garnish Restaurant,5.0 
Prince Sultan Road,,Jeddah,Sushi,Sushi,"Prince Sultan Road,, Jeddah Saudi Arabia",1,+ Add hours,22 of 23 Sushi in Jeddah,,, Ronin,5.0 
jeddah, prince sultan road,Jeddah,", Lebanese, Mediterranean, Middle Eastern", Lebanese,"jeddah, prince sultan road, Al zahra district Opposite of Salamah Center, Jeddah 21411 Saudi Arabia",4,+ Add hours,39 of 46 Lebanese in Jeddah,966 9200 08013, 5 -  35, Byblos Xpress,3.5 
Jeddah Saudi Arabia,,Jeddah,Restaurants,Restaurants,Jeddah Saudi Arabia,1,+ Add hours,501 of 628 Restaurants in Jeddah,966 12 694 7972,, New York Cab Pizza,5.0 
Abdulmaksoud Khoja Street, Jeddah 21573 Saudi Arabia,Jeddah,"  , Lebanese, Mediterranean", Lebanese,"Abdulmaksoud Khoja Street, Jeddah 21573 Saudi Arabia",4,Open Now:See all hours,40 of 46 Lebanese in Jeddah,966 12 263 0857,, Oasis,4.0 
23621 Amna Bint Wahb Street Al Naeem District, Jeddah Saudi Arabia,Jeddah,"Asian, Indonesian", Indonesian,"23621 Amna Bint Wahb Street Al Naeem District, Jeddah Saudi Arabia",3,+ Add hours,59 of 65 Asian in Jeddah,966 54 143 4267,, Surabaya Garden,3.5 
King Abdul Aziz Road,,Jeddah,Restaurants,Restaurants,"King Abdul Aziz Road,, Jeddah Saudi Arabia",1,+ Add hours,504 of 628 Restaurants in Jeddah,,, Rasela Indonesian Cafe & Resto,5.0 
Jeddah 23233 Saudi Arabia,,Jeddah,  ,Restaurants,Jeddah 23233 Saudi Arabia,1,+ Add hours,505 of 628 Restaurants in Jeddah,96612667010, 50 -  150, Osama,5.0 
7238 Prince Abdullah AlFiasal Street Obhur Al-Shamaliyah, Jeddah 23815 Saudi Arabia,Jeddah,", Cafe, Fast Food, International", Cafe,"7238 Prince Abdullah AlFiasal Street Obhur Al-Shamaliyah, Jeddah 23815 Saudi Arabia",2,Open Now:1:00 PM - 12:00 AM,43 of 55 Cafe in Jeddah,966 56 110 0224, 7 -  32, Juicetry,4.0 
Prince Sultan Street North of Jarir Mall, Almohamadiya Dissect,Jeddah,Restaurants,Restaurants,"Prince Sultan Street North of Jarir Mall, Almohamadiya Dissect, Jeddah Saudi Arabia",1,Open Now:1:00 PM - 1:00 AM,508 of 628 Restaurants in Jeddah,966 55 433 4140,, Gambriano Restaurant,5.0 
Thalia street, Jeddah Saudi Arabia,Jeddah,"  , American, Halal", American,"Thalia street, Jeddah Saudi Arabia",20,Open Now:See all hours,66 of 79 American in Jeddah,966 2 692 9008,, Ketchup,3.0 
